2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitHeartPair@24418] SDK: request heartbeat addr[tcp://127.0.0.1:49728]

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitHeartPair@24489] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::SM_Init@497] SDK: InitHeartPair success.

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitReq@24103] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::DeInitReq@24353] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::UnRegisterModule@24777] start

2023-11-06 14:38:41.886 WARN  [584] [CServerManager::UnRegisterModule@24780] SDK: m_hCommunicationReq is NULL.

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::NotifyServerDestroy4Export@12373] start

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::NotifyServerDestroy4Export@12389] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::DeInitReq@24378] end

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitReq@24160] Bind address:[tcp://127.0.0.1:49729]

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitReq@24164] Bind address:[tcp://127.0.0.1:49729], nRet:[0]

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitReq@24168] SetSocketOpt, nRet:[0]

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitReq@24172] SetSocketOpt, nRet:[0]

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitReq@24248] SDK:Connect addr:[tcp://127.0.0.1:5556], nRet:[0]

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::InitReq@24258] SDK: Connect to vmserver rep[tcp://127.0.0.1:5556]

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::GetProxyRegisterState@23292] start.

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::GetProxyRegisterState@23364] end.

2023-11-06 14:38:41.886 INFO  [584] [CServerManager::RegisterModule@24521] start

2023-11-06 14:38:41.887 INFO  [584] [CServerManager::GetProcessDirectoryById@34481] SDK: Process path:[D:\Program Files\VisionMaster4.2.0\Applications\Server]

2023-11-06 14:38:41.887 INFO  [584] [CServerManager::RegisterModule@24590] SDK: Register RepAddress:[]; Proxy pub address:[tcp://0.0.0.0:49675]

2023-11-06 14:38:41.887 INFO  [584] [CServerManager::RegisterModule@24592] SDK: Register info. ClientType:[1]; GUID:[127.0.0.1:1A664E2EE3BC45CE8DC81F89AAC81746]

2023-11-06 14:38:41.899 INFO  [584] [CServerManager::RegisterModule@24766] end

2023-11-06 14:38:41.899 INFO  [584] [CServerManager::InitReq@24342] end

2023-11-06 14:38:41.899 INFO  [584] [CServerManager::SM_Init@506] SDK: InitReq success.

2023-11-06 14:38:41.89
