2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::Connect@223] mq client type[5]---connect server[127.0.0.1:49671], nLoopTimes[2],nConnTimeout[0]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:49671] success,socket id[1432]-[0000000000000598],local ipaddr[127.0.0.1:50410],pIocp[0000021D6AFD0580]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[5000],socketid[1432]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1432],m_strServerAddr[tcp://127.0.0.1:49671]

2023-10-09 13:19:07.866 INFO  [9184] [CTimerProxy::Regitser@52] Register timer event,Handle[4],pUserData[0000021D6CA092E0]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[4],client[0000021D6CA092E0]---nClientType[5]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommRequire::Connect@234] want connect to server[tcp://127.0.0.1:49671] succ,client type[Require]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:19:07.866 INFO  [9184] [CMQCommPairClient::Connect@41] want to connect to server [tcp://127.0.0.1:49677],client type[PairC], connect timeout is[5000]ms

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::Connect@223] mq client type[0]---connect server[127.0.0.1:49677], nLoopTimes[100],nConnTimeout[5000]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:49677] success,socket id[1520]-[00000000000005F0],local ipaddr[127.0.0.1:50414],pIocp[0000021D6AFCE7C0]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[5000],socketid[1520]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1520],m_strServerAddr[tcp://127.0.0.1:49677]

2023-10-09 13:19:07.866 INFO  [9184] [CTimerProxy::Regitser@52] Register timer event,Handle[5],pUserData[0000021D68BD11E0]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[5],client[0000021D68BD11E0]---nClientType[0]

2023-10-09 13:19:07.866 INFO  [9184] [CMQCommPairClient::Connect@75] want to connect to server [tcp://127.0.0.1:49677],client type[PairC],send register cmd ret[0]

2023-10-09 13:27:56.751 INFO  [9184] [CMQCommRequire::~CMQCommRequire@19] call ~CMQCommRequire,this[0000021D6CA092E0]

2023-10-09 13:27:56.751 INFO  [9184] [CMQCommRequire::Disconnect@243] call disconnect to server,socket id[1432]

2023-10-09 13:27:56.751 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[4],Reconnect Event id[5],--client[0000021D6CA092E0]

2023-10-09 13:27:56.751 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[4],client[0000021D6CA092E0]

2023-10-09 13:27:56.751 INFO  [9184] [CTimerProxy::Unregister@61] Unegister timer event,Handle[4]

2023-10-09 13:27:56.751 INFO  [9184] [CTimerProxy::Unregister@66] erase timer event,Handle[4] succ!!!

2023-10-09 13:27:56.751 INFO  [9184] [CTimerProxy::Unregister@74] Unegister timer event,Handle[4]---end

2023-10-09 13:27:56.762 INFO  [9184] [CIocpTcpTransmitter::Close@195] want close socket,socket id[1432]

2023-10-09 13:27:56.762 INFO  [9184] [DeleteRecvDataBufCB@248] recv buffer worker mode[0]

2023-10-09 13:27:56.812 INFO  [9184] [CMQCommRequire::~CMQCommRequire@21] call ~CMQCommRequire,this[0000021D6CA092E0]---end

2023-10-09 13:27:56.812 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@145] call ~CMQCommBaseClient,this[0000021D6CA092E0]

2023-10-09 13:27:56.812 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@147] call ~CMQCommBaseClient,this[0000021D6CA092E0]xxxx

2023-10-09 13:27:56.812 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000021D6CA092E0]

2023-10-09 13:27:56.812 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[-1],client[0000021D6CA092E0]

2023-10-09 13:27:56.823 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@161] call ~CMQCommBaseClient,this[0000021D6CA092E0]---end

2023-10-09 13:27:56.823 INFO  [9184] [CMQCommSubject::~CMQCommSubject@19] call ~CMQCommSubject,this[0000021D6AF99B70]

2023-10-09 13:27:56.823 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[0],Reconnect Event id[1],--client[0000021D6AF99B70]

2023-10-09 13:27:56.823 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[2],client[0000021D6AF99B70]

2023-10-09 13:27:56.823 INFO  [9184] [CTimerProxy::Unregister@61] Unegister timer event,Handle[2]

2023-10-09 13:27:56.823 INFO  [9184] [CTimerProxy::Unregister@66] erase timer event,Handle[2] succ!!!

2023-10-09 13:27:56.823 INFO  [9184] [CTimerProxy::Unregister@74] Unegister timer event,Handle[2]---end

2023-10-09 13:27:56.957 INFO  [9184] [CIocpTcpTransmitter::Close@195] want close socket,socket id[1456]

2023-10-09 13:27:56.957 INFO  [9184] [DeleteRecvDataBufCB@248] recv buffer worker mode[0]

2023-10-09 13:27:56.957 INFO  [9184] [CMQCommSubject::~CMQCommSubject@22] call ~CMQCommSubject,this[0000021D6AF99B70]---end

2023-10-09 13:27:56.957 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@145] call ~CMQCommBaseClient,this[0000021D6AF99B70]

2023-10-09 13:27:56.957 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@147] call ~CMQCommBaseClient,this[0000021D6AF99B70]xxxx

2023-10-09 13:27:56.957 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000021D6AF99B70]

2023-10-09 13:27:56.957 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[-1],client[0000021D6AF99B70]

2023-10-09 13:27:56.968 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@161] call ~CMQCommBaseClient,this[0000021D6AF99B70]---end

2023-10-09 13:27:56.968 INFO  [9184] [CMQCommSubject::~CMQCommSubject@19] call ~CMQCommSubject,this[0000021D6AF99990]

2023-10-09 13:27:56.968 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[2],Reconnect Event id[3],--client[0000021D6AF99990]

2023-10-09 13:27:56.968 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[3],client[0000021D6AF99990]

2023-10-09 13:27:56.968 INFO  [9184] [CTimerProxy::Unregister@61] Unegister timer event,Handle[3]

2023-10-09 13:27:56.968 INFO  [9184] [CTimerProxy::Unregister@66] erase timer event,Handle[3] succ!!!

2023-10-09 13:27:56.968 INFO  [9184] [CTimerProxy::Unregister@74] Unegister timer event,Handle[3]---end

2023-10-09 13:27:56.979 INFO  [9184] [CIocpTcpTransmitter::Close@195] want close socket,socket id[1460]

2023-10-09 13:27:56.979 INFO  [9184] [DeleteRecvDataBufCB@248] recv buffer worker mode[0]

2023-10-09 13:27:56.979 INFO  [9184] [CMQCommSubject::~CMQCommSubject@22] call ~CMQCommSubject,this[0000021D6AF99990]---end

2023-10-09 13:27:56.979 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@145] call ~CMQCommBaseClient,this[0000021D6AF99990]

2023-10-09 13:27:56.979 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@147] call ~CMQCommBaseClient,this[0000021D6AF99990]xxxx

2023-10-09 13:27:56.979 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000021D6AF99990]

2023-10-09 13:27:56.979 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[-1],client[0000021D6AF99990]

2023-10-09 13:27:56.990 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@161] call ~CMQCommBaseClient,this[0000021D6AF99990]---end

2023-10-09 13:27:56.990 ERROR [9184] [CIocpTcpTransmitter::SendData@301] CIocpTcpTransmitter SendData fail, HPR_AsyncIO_SendToEx fail, errCode<10093>,m_iConnSocketFd[1412]

2023-10-09 13:27:56.990 ERROR [9184] [CMQCommBaseClient::PackageMsgAndSendData@457] Send data to server failed,socketid[1412]

2023-10-09 13:27:56.990 ERROR [9184] [CMQCommRequire::SendData@46] SendData  Fail!,Error[%d]

2023-10-09 13:27:56.990 WARN  [9184] [CMQCommRequire::SendData@36] !!!socketid[1412] dwCurNeedStatus[2],m_bNeedReconn[1]

2023-10-09 13:27:57.172 ERROR [9184] [CMQCommRequire::RecvDataEx@87] current status is[2],socketid [1412]

2023-10-09 13:27:57.172 INFO  [9184] [CMQCommRequire::~CMQCommRequire@19] call ~CMQCommRequire,this[0000021D6CA08890]

2023-10-09 13:27:57.172 INFO  [9184] [CMQCommRequire::Disconnect@243] call disconnect to server,socket id[1412]

2023-10-09 13:27:57.172 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[6],Reconnect Event id[7],--client[0000021D6CA08890]

2023-10-09 13:27:57.172 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[1],client[0000021D6CA08890]

2023-10-09 13:27:57.172 INFO  [9184] [CTimerProxy::Unregister@61] Unegister timer event,Handle[1]

2023-10-09 13:27:57.172 INFO  [9184] [CTimerProxy::Unregister@66] erase timer event,Handle[1] succ!!!

2023-10-09 13:27:57.172 INFO  [9184] [CTimerProxy::Unregister@74] Unegister timer event,Handle[1]---end

2023-10-09 13:27:57.183 INFO  [9184] [CIocpTcpTransmitter::Close@195] want close socket,socket id[1412]

2023-10-09 13:27:57.183 INFO  [9184] [DeleteRecvDataBufCB@248] recv buffer worker mode[0]

2023-10-09 13:27:57.233 INFO  [9184] [CMQCommRequire::~CMQCommRequire@21] call ~CMQCommRequire,this[0000021D6CA08890]---end

2023-10-09 13:27:57.233 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@145] call ~CMQCommBaseClient,this[0000021D6CA08890]

2023-10-09 13:27:57.233 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@147] call ~CMQCommBaseClient,this[0000021D6CA08890]xxxx

2023-10-09 13:27:57.233 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000021D6CA08890]

2023-10-09 13:27:57.233 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[-1],client[0000021D6CA08890]

2023-10-09 13:27:57.244 INFO  [9184] [CMQCommBaseClient::~CMQCommBaseClient@161] call ~CMQCommBaseClient,this[0000021D6CA08890]---end

2023-10-09 13:27:57.244 INFO  [9184] [CMQCommPairClient::~CMQCommPairClient@30] call ~CMQCommPairClient,this[0000021D68BD11E0]

2023-10-09 13:27:57.244 INFO  [9184] [CMQCommBaseClient::UnegisterEvent@488] call unregister event. socket excpetion event id[8],Reconnect Event id[9],--client[0000021D68BD11E0]

2023-10-09 13:27:57.244 INFO  [9184] [CMQCommBaseClient::UnregisterHeartBeatTimer@516] call unregister heartbeat timer. timerid[5],client[0000021D68BD11E0]

2023-10-09 13:27:57.244 INFO  [9184] [CTimerProxy::Unregister@61] Unegister timer event,Handle[5]

2023-10-09 13:27:57.244 INFO  [9184] [CTimerProxy::Unregister@66] erase timer event,Handle[5] succ!!!

2023-10-09 13:27:57.244 INFO  [9184] [CTimerProxy::Unregister@74] Unegister timer event,Handle[5]---end

2023-10-09 13:27:57.255 INFO  [9184] [CIocpTcpTransmitter::Close@195] want close socket,socket id[1520]

2023-10-09 13:27:57.255 INFO  [9184] [DeleteRecvDataBufCB@248] recv buffer worker mode[0]

2023-10-09 13:30:53.589 INFO  [6596] [CTimerProxy::Regitser@52] Register timer event,Handle[0],pUserData[000002B61CFE9650]

2023-10-09 13:30:53.589 INFO  [6596] [CCommFactory::SetLogPath@83] set log---call register timer,timer id[0],this[000002B61CFE9650],pLogPath[D:\NewDesktop\10_7winform\bin\Debug\log\SDK]

2023-10-09 13:30:53.589 INFO  [6596] [CCommFactory::UpdateLogPath@231] current Path[D]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@23] index i[0]---size[1024]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@23] index i[1]---size[2048]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@23] index i[2]---size[10240]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@23] index i[3]---size[65536]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@23] index i[4]---size[524288]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@23] index i[5]---size[1048576]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@23] index i[6]---size[2097152]

2023-10-09 13:30:53.701 INFO  [6596] [CMemPool::CMemPool@28] Want Data len[1310888],get Datalen[2097152]

2023-10-09 13:30:53.702 INFO  [6596] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:30:53.702 INFO  [6596] [CMQCommSubject::CMQCommSubject@12] CMQCommSubject loadLog: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


